AAPL Price,PLTR Price,TLRY Price,TSLA Price,LCID Price,NIO Price,AMD Price,AMZN Price,RIVN Price,F Price,BAC Price,T Price,MPW Price,NVDA Price,AMC Price,INTC Price,ITUB Price,JNJ Price,VALE Price,SOFI Price,MARA Price,DDOG Price,LYG Price,DISH Price,AAL Price,OPEN Price,SWN Price,PFE Price,HPE Price,JBLU Price
39.931819915771484,,,17.742000579833984,,,10.050000190734863,72.36699676513672,,8.648855209350586,26.60054588317871,17.32331085205078,9.123577117919922,57.33330535888672,11.598237991333008,44.75375747680664,6.716859817504883,111.35162353515625,9.084190368652344,,4.480000019073486,,2.9372057914733887,37.88999938964844,50.74104690551758,,4.329999923706055,27.46637725830078,14.717449188232422,20.31999969482422
44.22627258300781,,,22.863332748413086,,,14.989999771118164,84.98999786376953,,8.756986618041992,25.106142044067383,15.898519515991211,10.03158187866211,58.68412780761719,13.307073593139648,42.96369171142578,4.473511695861816,106.21623992919922,9.155608177185059,,3.680000066757202,,2.709287643432617,33.61000061035156,37.15616226196289,,5.300000190734863,28.35186195373535,12.34603214263916,18.979999542236328
54.12268829345703,,143.6199951171875,17.65133285522461,,6.980000019073486,30.889999389648438,100.1500015258789,,7.420132637023926,26.36404037475586,16.97011947631836,10.832423210144043,69.65147399902344,18.68927001953125,41.12068557739258,4.815235137939453,121.75457763671875,10.907421112060547,,2.9200000762939453,,2.51945161819458,35.7599983215332,40.56038284301758,,5.110000133514404,34.732791900634766,13.878165245056152,19.360000610351562
37.95119094848633,,70.54000091552734,22.18666648864746,,6.369999885559082,18.459999084472656,75.09850311279297,,6.246888637542725,22.17380714416504,14.708550453186035,11.856607437133789,33.12139892578125,11.350497245788574,41.064456939697266,6.021116733551025,114.44229125976562,9.69466781616211,,1.440000057220459,,2.121643304824829,24.969999313354492,31.599044799804688,,3.4100000858306885,34.6672477722168,11.328237533569336,16.059999465942383
45.89669418334961,,65.5199966430664,18.657333374023438,,5.099999904632568,25.520000457763672,89.0374984741211,,7.2945380210876465,24.95530891418457,16.518463134765625,13.837932586669922,44.594810485839844,13.913994789123535,47.28615188598633,6.107464790344238,124.78874969482422,9.59911823272705,,2.0799999237060547,,2.660342216491699,31.690000534057617,31.339824676513672,,4.690000057220459,34.0246696472168,13.32676887512207,16.360000610351562
48.0066032409668,,46.560001373291016,14.897333145141602,,2.549999952316284,30.3700008392334,94.68150329589844,,8.635566711425781,26.372398376464844,18.02676010131836,13.221435546875,40.83406448364258,8.902473449707031,42.41063690185547,6.539315223693848,125.1842041015625,9.87841796875,,2.890000104904175,,2.43436336517334,38.40999984741211,32.27145004272461,,3.1600000858306885,35.013450622558594,13.01533317565918,18.489999771118164
54.531593322753906,,24.739999771118164,16.058000564575195,,1.559999942779541,28.989999771118164,86.79550170898438,,7.847743988037109,26.701833724975586,20.765474319458008,15.035686492919922,43.32353210449219,10.38244915008545,45.96146011352539,5.977053165435791,117.15753173828125,8.45251750946045,,1.75,33.90999984741211,2.3153343200683594,34.06999969482422,26.78388023376465,,1.9299999475479126,29.312158584594727,13.307448387145996,16.75
71.71173858642578,,17.1299991607666,27.8886661529541,,4.019999980926514,45.86000061035156,92.39199829101562,,8.09844970703125,32.41593933105469,21.83941078186035,16.4258975982666,58.60601043701172,7.1958537101745605,53.67616653442383,6.518916606903076,133.0048370361328,9.958168983459473,,0.8799999952316284,37.779998779296875,2.902937889099121,35.470001220703125,28.574403762817383,,2.4200000762939453,32.272464752197266,14.018596649169922,18.719999313354492
62.24708938598633,,6.880000114440918,34.93333435058594,,2.7799999713897705,45.47999954223633,97.48600006103516,,4.277498722076416,19.66443634033203,16.58008575439453,13.622549057006836,65.69393157958984,3.1600000858306885,48.776275634765625,3.309260368347168,120.32730865478516,6.254032611846924,,0.44999998807907104,35.97999954223633,1.3243008852005005,19.989999771118164,12.1899995803833,,1.690000057220459,27.16011619567871,8.676093101501465,8.949999809265137
89.54031372070312,,7.110000133514404,71.98733520507812,,7.71999979019165,52.61000061035156,137.9409942626953,,5.384512424468994,22.152027130126953,17.597145080566406,15.012421607971191,94.72372436523438,4.289999961853027,54.22706985473633,3.463888168334961,129.93922424316406,7.777934551239014,,0.9100000262260437,86.94999694824219,1.3155308961868286,34.5099983215332,13.069999694824219,11.75,2.559999942779541,27.481212615966797,8.784920692443848,10.899999618530273
113.90746307373047,9.5,4.849999904632568,143.00332641601562,9.779999732971191,21.219999313354492,81.98999786376953,157.43649291992188,,5.898166179656982,22.625667572021484,16.979703903198242,14.289895057678223,134.9838409423828,4.710000038146973,47.249664306640625,2.9519615173339844,138.47764587402344,8.323384284973145,,1.9600000381469727,102.16000366210938,1.1401265859603882,29.030000686645508,12.289999961853027,18.989999771118164,2.3499999046325684,31.144277572631836,8.56708812713623,11.329999923706055
130.73533630371094,23.549999237060547,8.260000228881836,235.22332763671875,10.010000228881836,48.7400016784668,91.70999908447266,162.84649658203125,,7.784517288208008,28.64500617980957,17.548095703125,17.893587112426758,130.27859497070312,2.119999885559082,45.791812896728516,4.534845352172852,147.40089416503906,13.185248374938965,,10.4399995803833,98.44000244140625,1.718960165977478,32.34000015258789,15.770000457763672,22.729999542236328,2.9800000190734863,33.2630615234375,10.94328498840332,14.539999961853027
120.53042602539062,23.290000915527344,22.729999542236328,222.64332580566406,23.18000030517578,38.97999954223633,78.5,154.70399475097656,,10.848729133605957,36.74629211425781,18.904582977294922,17.70482635498047,133.25099182128906,10.210000038146973,59.18235778808594,3.735811233520508,154.88882446289062,14.299742698669434,17.149999618530273,48.02000045776367,83.33999633789062,2.0346875190734863,36.20000076293945,23.899999618530273,21.190000534057617,4.650000095367432,33.09510040283203,14.654377937316895,20.34000015258789
135.3736114501953,26.360000610351562,18.079999923706055,226.56666564941406,28.81999969482422,53.20000076293945,93.93000030517578,172.00799560546875,,13.160172462463379,39.323524475097656,18.383228302001953,16.946151733398438,199.72386169433594,56.68000030517578,52.233768463134766,4.551209926605225,156.22499084472656,19.133264541625977,19.170000076293945,31.3700008392334,104.08000183105469,2.2668814659118652,41.79999923706055,21.209999084472656,17.729999542236328,5.670000076293945,36.124046325683594,13.678803443908691,16.780000686645508
