PLTR Total Revenue,TLRY Total Revenue,TSLA Total Revenue,LCID Total Revenue,AAPL Total Revenue,NIO Total Revenue,AMD Total Revenue,AMZN Total Revenue,RIVN Total Revenue,F Total Revenue,BAC Total Revenue,T Total Revenue,MPW Total Revenue,NVDA Total Revenue,AMC Total Revenue,INTC Total Revenue,ITUB Total Revenue,JNJ Total Revenue,VALE Total Revenue,SOFI Total Revenue,MARA Total Revenue,DDOG Total Revenue,LYG Total Revenue,DISH Total Revenue,AAL Total Revenue,OPEN Total Revenue,SWN Total Revenue,PFE Total Revenue,HPE Total Revenue,JBLU Total Revenue,Quarter
533317000.0,184188000.0,24927000000.0,150874000.0,81797000000.0,,5359000000.0,134383000000.0,,44954000000.0,25197000000.0,29917000000.0,,7192000000.0,,12949000000.0,,25530000000.0,9673000000.0,498018000.0,,,4788000000.0,,14055000000.0,1976000000.0,1269000000.0,12734000000.0,6973000000.0,2610000000.0,2023Q2
525186000.0,145589000.0,23329000000.0,149432000.0,94836000000.0,10676471000.0,5353000000.0,127358000000.0,661000000.0,41474000000.0,26258000000.0,30139000000.0,350211000.0,6051000000.0,954400000.0,11715000000.0,34242000000.0,24746000000.0,8434000000.0,472158000.0,51132000.0,481714000.0,4808000000.0,3956982000.0,12189000000.0,3120000000.0,2118000000.0,18282000000.0,7809000000.0,2328000000.0,2023Q1
508624000.0,144136000.0,24318000000.0,257713000.0,117154000000.0,16063514000.0,5599000000.0,149204000000.0,663000000.0,43999000000.0,24532000000.0,31343000000.0,380486000.0,5931000000.0,990900000.0,14042000000.0,35316000000.0,23706000000.0,11941000000.0,456679000.0,28423014.0,469399000.0,4928000000.0,4043373000.0,13189000000.0,2857000000.0,3380000000.0,24290000000.0,7871000000.0,2415000000.0,2022Q4
477880000.0,153211000.0,21454000000.0,195457000.0,90146000000.0,13002095000.0,5565000000.0,127101000000.0,536000000.0,39392000000.0,24502000000.0,30043000000.0,352339000.0,6704000000.0,968400000.0,15338000000.0,35049000000.0,23791000000.0,9929000000.0,423985000.0,12690452.0,436533000.0,4537000000.0,4095451000.0,13462000000.0,3361000000.0,4541000000.0,22638000000.0,6951000000.0,2562000000.0,2022Q3
473010000.0,153325000.0,16934000000.0,97336000.0,82959000000.0,10292364000.0,6550000000.0,121234000000.0,364000000.0,40190000000.0,22688000000.0,29643000000.0,400226000.0,,1166400000.0,15321000000.0,34539000000.0,24020000000.0,11157000000.0,362527000.0,24921816.0,406138000.0,4589000000.0,4209963000.0,13422000000.0,4198000000.0,4138000000.0,27742000000.0,,2445000000.0,2022Q2
